127.0.0.1 - - [29/Apr/2023:17:35:49 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:35:50 +0900] "GET /WebStudy05_SpringBoard/WEB-INF/jsp/index.jsp HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:35:50 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:35:57 +0900] "GET /WebStudy05_SpringBoard/ HTTP/1.1" 200 15101
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:35:57 +0900] "GET /WebStudy05_SpringBoard/resources/js/jquery.serializeObject.min.js HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:35:57 +0900] "GET /WebStudy05_SpringBoard/resources/js/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 20713
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:35:57 +0900] "GET /WebStudy05_SpringBoard/resources/admin2/css/sb-admin-2.min.css;jsessionid=FC8427D1C722628C17B454C4662FD16F HTTP/1.1" 200 170737
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:35:57 +0900] "GET /WebStudy05_SpringBoard/resources/js/sweetalert2/sweetalert2.all.min.js HTTP/1.1" 200 64340
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:35:57 +0900] "GET /WebStudy05_SpringBoard/resources/js/jquery-3.6.3.min.js HTTP/1.1" 200 89947
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:35:57 +0900] "GET /WebStudy05_SpringBoard/resources/admin2/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 84378
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:35:57 +0900] "GET /WebStudy05_SpringBoard/resources/admin2/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:35:57 +0900] "GET /WebStudy05_SpringBoard/resources/admin2/js/sb-admin-2.min.js HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:35:57 +0900] "GET /WebStudy05_SpringBoard/img/undraw_rocket.svg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:35:57 +0900] "GET /WebStudy05_SpringBoard/img/undraw_profile_1.svg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:35:57 +0900] "GET /WebStudy05_SpringBoard/img/undraw_profile_2.svg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:35:57 +0900] "GET /WebStudy05_SpringBoard/img/undraw_profile_3.svg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:35:57 +0900] "GET /WebStudy05_SpringBoard/img/undraw_profile.svg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:36:05 +0900] "GET /WebStudy05_SpringBoard/resources/js/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 20713
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:36:05 +0900] "GET /WebStudy05_SpringBoard/resources/admin2/css/sb-admin-2.min.css;jsessionid=FC8427D1C722628C17B454C4662FD16F HTTP/1.1" 200 170737
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:36:06 +0900] "GET /WebStudy05_SpringBoard/resources/admin2/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 316181
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:45:22 +0900] "GET /WebStudy05_SpringBoard/resources/js/jquery.serializeObject.min.js HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:45:22 +0900] "GET /WebStudy05_SpringBoard/resources/js/sweetalert2/sweetalert2.all.min.js HTTP/1.1" 200 64340
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:45:22 +0900] "GET /WebStudy05_SpringBoard/resources/admin2/css/sb-admin-2.min.css HTTP/1.1" 200 170737
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:45:22 +0900] "GET /WebStudy05_SpringBoard/resources/js/jquery-3.6.3.min.js HTTP/1.1" 200 89947
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:45:22 +0900] "GET /WebStudy05_SpringBoard/resources/js/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 20713
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:45:22 +0900] "GET /WebStudy05_SpringBoard/board/img/undraw_rocket.svg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:45:22 +0900] "GET /WebStudy05_SpringBoard/board/boardList.do;jsessionid=FC8427D1C722628C17B454C4662FD16F HTTP/1.1" 200 16657
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:45:22 +0900] "GET /WebStudy05_SpringBoard/board/img/undraw_profile.svg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:45:22 +0900] "GET /WebStudy05_SpringBoard/board/img/undraw_profile_2.svg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:45:22 +0900] "GET /WebStudy05_SpringBoard/board/img/undraw_profile_3.svg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:45:22 +0900] "GET /WebStudy05_SpringBoard/board/img/undraw_profile_1.svg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:45:22 +0900] "GET /WebStudy05_SpringBoard/resources/admin2/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 84378
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:45:22 +0900] "GET /WebStudy05_SpringBoard/resources/js/board/boardList.js HTTP/1.1" 200 2582
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:45:22 +0900] "GET /WebStudy05_SpringBoard/resources/admin2/js/sb-admin-2.min.js HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:45:22 +0900] "GET /WebStudy05_SpringBoard/resources/admin2/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:45:22 +0900] "GET /WebStudy05_SpringBoard/resources/admin2/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 316181
0:0:0:0:0:0:0:1 - - [29/Apr/2023:17:45:23 +0900] "GET /WebStudy05_SpringBoard/board/boardList.do;jsessionid=FC8427D1C722628C17B454C4662FD16F?page=&searchType=&searchWord= HTTP/1.1" 200 4291
